nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
AK STL CORP	NOTE 5.000%11/1	001546AP5	3012	3000000	PRN	SOLE	3000000	0	0
AK STL CORP	NOTE 5.000%11/1	001546AP5	2822	2811000	PRN	SOLE	2811000	0	0
ANTERO RES CORP	COM	03674X106	3321	376072	SH	SOLE	376072	0	0
AVAYA HLDGS CORP	COM	05351X101	48151	2861003	SH	SOLE	2861003	0	0
AVAYA HLDGS CORP	COM	05351X101	33967	2018256	SH	SOLE	2018256	0	0
BERRY PETE CORP	COM	08579X101	217914	18883338	SH	SOLE	18883338	0	0
BERRY PETE CORP	COM	08579X101	56411	4888282	SH	SOLE	4888282	0	0
CHENIERE ENERGY INC	COM NEW	16411R208	18115	265000	SH	SOLE	265000	0	0
CHENIERE ENERGY INC	NOTE 4.250% 3/1	16411RAG4	1563	2000000	PRN	SOLE	2000000	0	0
CHESAPEAKE ENERGY CORP	NOTE 5.500% 9/1	165167CY1	52895	57122000	PRN	SOLE	57122000	0	0
CHESAPEAKE ENERGY CORP	NOTE 5.500% 9/1	165167CY1	36720	39654000	PRN	SOLE	39654000	0	0
CROSS CTRY HEALTHCARE INC	COM	227483104	9418	1339640	SH	SOLE	1339640	0	0
CUMULUS MEDIA INC	COM CLASS A	231082801	894	59633	SH	SOLE	59633	0	0
DISH NETWORK CORP	NOTE 2.375% 3/1	25470MAD1	1891	2300000	PRN	SOLE	2300000	0	0
DONNELLEY R R & SONS CO	COM	257867200	383	81109	SH	SOLE	81109	0	0
DONNELLEY R R & SONS CO	COM	257867200	321	68049	SH	SOLE	68049	0	0
EAGLE BULK SHIPPING INC	SHS NEW	Y2187A143	3255	700000	SH	SOLE	700000	0	0
FERROGLOBE PLC	SHS	G33856108	741	361238	SH	SOLE	361238	0	0
FERROGLOBE PLC	SHS	G33856108	741	361238	SH	SOLE	361238	0	0
FRONTIER COMMUNICATIONS CORP	COM NEW	35906A306	2030	1019955	SH	SOLE	1019955	0	0
FRONTIER COMMUNICATIONS CORP	COM NEW	35906A306	2030	1019955	SH	SOLE	1019955	0	0
FTS INTERNATIONAL INC	COM	30283W104	2086	208627	SH	SOLE	208627	0	0
HC2 HLDGS INC	COM	404139107	695	283478	SH	SOLE	283478	0	0
NII HLDGS INC	COM PAR	62913F508	5926	3023319	SH	SOLE	3023319	0	0
NII HLDGS INC	COM PAR	62913F508	4256	2171496	SH	SOLE	2171496	0	0
OI S A	SPONSORED ADR NE	670851500	56669	30142942	SH	SOLE	30142942	0	0
OI S A	SPONSORED ADR NE	670851500	44366	23598881	SH	SOLE	23598881	0	0
SCORPIO TANKERS INC	NOTE 3.000% 5/1	80918TAB5	3525	4000000	PRN	SOLE	4000000	0	0
SCORPIO TANKERS INC	SHS	Y7542C130	22808	1149585	SH	SOLE	1149585	0	0
SCORPIO TANKERS INC	SHS	Y7542C130	8490	427943	SH	SOLE	427943	0	0
SPDR S&P 500 ETF TR	TR UNIT	78462F103	398014	1409000	SH	SOLE	1409000	0	0
SPDR S&P 500 ETF TR	TR UNIT	78462F103	57230	202600	SH	SOLE	202600	0	0
SYNACOR INC	COM	871561106	94	59785	SH	SOLE	59785	0	0
TARGA RES CORP	COM	87612G101	2223	53500	SH	SOLE	53500	0	0
TENET HEALTHCARE CORP	COM NEW	88033G407	3272	113451	SH	SOLE	113451	0	0
TENET HEALTHCARE CORP	COM NEW	88033G407	2660	92216	SH	SOLE	92216	0	0
VISTRA ENERGY CORP	COM	92840M102	11714	450003	SH	SOLE	450003	0	0
WEATHERFORD INTL LTD	NOTE 5.875% 7/0	947075AH0	15330	18985000	PRN	SOLE	18985000	0	0
WEATHERFORD INTL LTD	NOTE 5.875% 7/0	947075AH0	12721	15753000	PRN	SOLE	15753000	0	0
WPX ENERGY INC	COM	98212B103	14552	1110000	SH	SOLE	1110000	0	0
